Country,10-14,15-19,RR
Angola,1.13910092453578,1.14663797679635,1.00661666767029
Bangladesh,1.35833952002548,1.37026317812766,1.00877811322309
Brazil,0.866316805811028,0.876076749508987,1.0112660214283
Central African Republic,1.14246375304027,1.15040207391942,1.00694842252809
China,0.903630974118745,0.931261681884223,1.03057742436554
Congo,1.1272065997824,1.12958563022934,1.00211055404341
DPR Korea,0.967112459718169,0.968200181407961,1.00112471065682
DR Congo,1.16772221586016,1.18151455597723,1.01181131944716
Ethiopia,1.20511840661734,1.22251232036326,1.01443336492946
Gabon,1.0477405297515,1.05269073217743,1.00472464535385
India,1.56556532168041,1.59653531431795,1.01978198686996
Indonesia,1.14104724885066,1.15343402490255,1.01085562062778
Kenya,1.12409966229776,1.12737260891915,1.00291161605253
Lesotho,1.02975836438439,1.03642002989899,1.00646915407051
Liberia,1.11053053822963,1.12999005872421,1.01752272434183
Mongolia,0.949771289316139,0.947505906848927,0.997614812647324
Mozambique,1.03644402765209,1.03346913588797,0.997129713052756
Myanmar,1.22879208342647,1.24528629443082,1.01342310975698
Namibia,1.09217390526566,1.10189423928607,1.00889998742283
Nigeria,1.1921739852349,1.19816447542628,1.0050248455893
PNG,0.818076967376807,0.794040492611747,0.970618321107201
Pakistan,1.38146649396013,1.38589109535155,1.00320282931998
Philippines,1.15626965604544,1.17159755311943,1.01325633427622
Sierra Leone,1.12163587877787,1.12616769369599,1.00404036194265
South Africa,0.929959316110699,0.880047099395576,0.946328601853394
Thailand,1.02833658274186,1.03709126386766,1.00851343934732
UR Tanzania,1.09791973196709,1.09864532844049,1.00066088298832
Uganda,1.0957987413594,1.09294259570181,0.997393549061711
Viet Nam,1.28095635208809,1.29503649549134,1.01099189943537
Zambia,1.08099843924787,1.08500005110536,1.00370177394546
